C:\ICPMH\1\DATA\12G13l01.B\414_3.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  03:33:51 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
55.476,37890.25,7601.62,1700.08,55621.38,889827.56,7251.51,162206.90,116.67
55.712,33030.59,6134.39,1000.03,59534.19,878475.80,5550.89,159245.66,383.34
55.948,40395.74,5300.79,2300.15,60035.89,987716.82,6601.25,156890.47,133.33
56.184,34483.34,5034.05,600.01,57761.61,953603.34,6651.27,175639.96,283.34
56.420,37339.09,8868.88,2000.11,56791.78,923556.95,6251.12,152080.18,216.67
56.656,38942.51,4433.89,6701.26,56156.41,945797.09,5850.99,139102.61,500.01
56.892,32980.50,5767.60,3400.33,57661.28,941789.57,7351.56,150600.39,533.34
57.128,42951.71,7901.75,2100.12,55119.79,894243.97,7001.41,158606.37,283.34
57.364,56288.78,5234.10,1300.05,58196.37,957507.93,6451.20,142867.11,383.34
57.600,36888.15,5334.13,1200.04,58463.93,960040.94,7601.66,152147.45,266.67
57.836,39543.84,6301.12,1900.10,62109.76,962574.44,7401.58,173787.67,300.00
58.072,39393.51,4333.86,1700.08,56390.49,973767.80,6951.39,155746.65,283.34
58.308,103198.02,5000.70,1900.10,56357.05,901975.41,6901.37,157294.19,100.00
58.544,58947.36,4767.31,1400.06,80048.90,909394.65,9102.38,153358.32,333.34
58.780,42450.51,5167.42,1900.10,54852.30,877530.20,7551.64,198355.55,150.00
59.016,43402.81,6767.95,4300.52,52913.02,882048.75,7201.49,146329.80,350.00
59.252,45608.30,9068.98,2000.11,61674.90,940471.60,7751.73,143808.34,83.33
59.488,37088.56,5100.73,1800.09,51742.87,875796.70,6801.33,149322.46,283.34
59.724,42199.91,7668.32,2500.18,67596.65,858050.51,6551.24,143438.59,350.00
59.960,51323.82,6534.53,1400.06,52578.68,898346.11,6801.33,141119.21,150.00
60.196,48064.75,6334.46,3600.37,55688.25,797227.17,7201.49,139909.23,316.67
60.432,59549.35,7301.50,4100.47,58062.60,863666.43,7851.77,131979.23,283.34
60.668,54433.02,7401.54,2800.22,54986.04,1422806.77,10653.26,136515.00,333.34
60.904,62660.00,7735.01,3000.25,53180.49,910212.42,7701.71,138564.88,183.33
61.140,69836.60,8802.18,3800.41,59166.28,935094.94,6151.09,147372.15,266.67
61.376,72748.23,9969.46,3800.41,50773.37,822139.28,7651.69,144816.91,416.67
61.612,74304.63,9335.78,2500.18,56858.67,801463.84,8702.18,137422.30,366.67
61.849,70137.79,8268.59,5400.82,53949.50,930299.92,11103.55,136481.41,233.33
62.085,76513.95,11036.75,5000.70,57895.38,833350.51,7101.45,146565.19,266.67
62.321,78221.35,11470.36,4600.60,50539.36,838853.92,8402.03,152551.06,433.34
62.557,80481.37,11303.59,3700.39,72114.59,796076.58,63817.01,156554.02,466.67
62.793,83645.90,10970.05,2700.21,51976.89,837648.36,9002.33,148145.53,300.00
63.029,93444.41,11236.88,3000.25,66090.93,886621.02,6001.04,149658.74,316.67
63.265,82942.62,10669.86,4500.57,52812.71,861146.89,6701.29,153560.13,350.00
63.501,95203.69,11470.36,5200.76,55688.25,814965.55,9452.57,142699.03,316.67
63.737,92187.89,13038.11,3800.41,50940.52,832092.79,8101.89,160154.15,316.67
63.973,92037.12,12504.39,4500.57,46361.19,853852.75,7251.51,145388.43,266.67
64.209,95756.64,11303.59,2400.16,53280.79,797750.16,7151.47,146329.80,183.33
64.445,83143.56,11503.72,2400.16,48700.85,836862.03,7601.66,146161.72,333.34
64.681,95253.96,12504.39,4300.52,48500.29,846037.13,6401.18,151912.03,350.00
64.917,88921.36,12237.54,3700.39,53280.79,947590.06,7901.80,139203.44,283.34
65.153,83444.96,12004.05,4500.57,49569.94,862196.80,7401.58,134969.36,333.34
65.389,90730.44,13171.54,4200.50,51475.41,814494.50,7551.64,139304.27,516.67
65.625,95957.71,11470.36,4400.55,54350.74,866238.79,7701.71,244959.90,350.00
65.861,96711.78,12704.53,3000.25,54250.43,839692.69,7851.77,141421.72,266.67
66.097,106718.67,14272.39,3200.29,54250.43,842838.40,6751.31,151945.66,300.00
66.333,100482.56,20812.16,3800.41,51308.26,1866433.64,8051.87,144043.67,433.34
66.569,88217.87,12837.96,4300.52,52244.35,926617.01,7451.60,144144.53,333.34
66.805,94097.85,12971.39,2300.15,50606.23,793200.41,7301.53,147304.90,316.67
67.041,97214.50,13638.55,2400.16,61909.06,825910.57,7651.69,145724.63,300.00
67.277,101387.67,12938.03,4900.68,50806.80,836757.25,7851.77,148918.95,400.00
67.513,91031.98,12137.47,4300.52,50806.80,808056.51,8702.18,199603.41,366.67
67.749,88820.86,13004.75,3900.43,48834.55,783843.28,8652.16,138262.42,383.34
67.985,122721.22,12004.05,3700.39,53982.94,777834.29,7801.75,140816.70,400.00
68.221,114969.75,11437.01,10202.93,45158.05,1471555.50,7451.60,157193.25,283.34
68.457,100583.14,13571.84,5000.70,46829.09,886047.68,8452.06,137321.49,416.67
68.693,96359.88,12604.46,17408.52,47965.48,927349.43,8952.31,139371.47,150.00
68.929,88016.89,21512.99,5700.91,64652.26,847190.84,9202.44,160658.92,283.34
69.165,91534.54,12137.47,4700.62,55587.94,797593.28,8502.08,150062.29,2966.94
69.401,92037.12,33832.12,3100.27,50104.79,820201.58,7501.62,143068.79,366.67
69.637,86911.48,16674.47,2500.18,46394.61,805126.19,8402.03,150230.46,250.00
69.873,108730.79,8935.58,4200.50,47998.91,867656.46,6751.31,201930.73,316.67
70.109,95605.84,12837.96,2100.12,53682.02,827586.83,8602.13,153963.79,283.34
70.345,89373.62,10669.86,3900.43,53447.96,782014.18,8552.11,157899.78,216.67
70.581,87665.16,13138.18,2500.18,57895.38,809626.48,8201.94,153795.58,233.33
70.818,122670.88,12737.89,6601.23,51876.60,751262.08,7901.80,143505.80,250.00
71.054,96963.15,12304.25,2900.24,51341.70,820254.02,8452.06,133491.03,300.00
71.290,96510.70,12971.39,3100.27,49369.37,794769.21,10553.20,151777.48,333.34
71.526,93444.41,15473.39,5700.91,47029.63,778461.35,7901.80,160524.30,300.00
71.762,97717.24,14472.55,1900.10,48366.59,858155.49,8001.84,149726.01,266.67
71.998,165818.08,13104.82,2900.24,47464.12,850023.26,9052.36,144144.53,316.67
72.234,98421.11,12771.25,3200.29,52077.19,843362.71,9652.68,133625.41,283.34
72.470,107020.46,11837.27,2800.22,49971.07,890037.81,7051.43,155443.88,333.34
72.706,102745.41,12571.10,2100.12,54517.92,834293.87,7901.80,227991.96,350.00
72.942,95253.96,15339.94,3900.43,74591.59,845198.16,7851.77,145085.86,216.67
73.178,97717.24,15773.65,2400.16,59366.96,955397.09,7701.71,126806.58,300.00
73.414,86559.77,13905.43,3200.29,47898.64,835342.11,6501.22,155914.85,100.00
73.650,99728.35,13671.92,1800.09,49837.36,884676.29,8301.98,145724.63,416.67
73.886,96309.62,13505.12,4200.50,54885.74,807847.23,6751.31,129325.55,233.33
