statistic,sample,rep,B11,Mg24,Mg25,Al27,Ca44,Sr86,Sr87,Sr88,Ba138
std,E9-F_A,1,2.9240828627928376e-05,0.0013048294795107477,0.0013323583303194307,2.691091159726387e-05,0.032408255909585765,0.00013223166460546367,1.6540754468022702e-05,6.076467157128957e-05,7.977868800781201e-07
std,E9-F_A,2,3.82643008776686e-05,0.0004643972438966459,0.0005101918846543866,1.8227661586613164e-05,0.039766216716566605,0.0001431860176800827,1.5366038125616157e-05,6.062007500522905e-05,1.3365869773925156e-06
std,B12-F_A,0,2.3035235619995746e-05,0.001215598847605796,0.0012371208783886528,1.0074333108710454e-05,0.024074955183959218,0.00017686624856648036,1.74830371271414e-05,7.263992893643604e-05,2.396064005106759e-07
std,B12-F_A,1,2.2533478690650452e-05,0.0015816526846499552,0.0016553456054864979,1.1708958609929178e-05,0.03904026170038457,0.00021869795888049674,2.3266501275537335e-05,0.00010801964736231592,2.06680073652092e-07
std,B12-F_A,2,2.1825922048907744e-05,0.0006029196140617812,0.000647164338882646,9.56400131707814e-06,0.030102420935605237,0.00021498098281392758,1.8927013553479262e-05,8.60562197210922e-05,2.7279097264678316e-07
std,B11-F_A,0,2.705251537477895e-05,0.0009621238112902702,0.001021571089490655,1.6921380107240262e-05,0.034528789663669464,0.0002544172425727994,2.3557477691078254e-05,0.00011099013238152319,8.350402152930974e-07
std,B11-F_A,1,2.725487893013287e-05,0.0007244819401988644,0.0007988926941262111,1.9909331907322998e-05,0.032072699927806175,0.0002093183067757868,2.4062378776198243e-05,0.0001010918972145833,1.322754209481815e-06
std,B11-F_A,2,2.9873547960317488e-05,0.0007992798006489233,0.0008327910946405255,1.7284726938854573e-05,0.034114945163369326,0.00017988079925833944,2.0400724622744635e-05,7.938975272429809e-05,8.420159160334337e-07
std,B10-F_A,0,3.269858749752123e-05,0.0019247212638573217,0.0019825903070586548,2.0214035477674668e-05,0.04708164265534132,0.00034813229605963885,3.1227412670103036e-05,0.00013835453785311305,5.889672174581528e-07
std,B10-F_A,1,3.4084205917028086e-05,0.001781512334094791,0.0019177043197449095,2.1566492276382242e-05,0.06759057256510827,0.00034284674290252157,2.8262397227888045e-05,0.00012398455235615184,5.392906633885745e-07
