Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference,M,g/g,g/g_err,mol/g,mol/g_err
Tm,NIST612,36.8,0.6,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,168.93421,3.68e-05,6e-07,2.1783628076278925e-07,3.5516784906976507e-09
Yb,NIST612,39.2,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,173.04,3.9200000000000004e-05,9.000000000000001e-07,2.26537216828479e-07,5.201109570041609e-09
Lu,NIST612,37.0,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,174.967,3.7e-05,9.000000000000001e-07,2.114684483359719e-07,5.143827121685804e-09
Hf,NIST612,36.7,1.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,178.49,3.6700000000000004e-05,1.2e-06,2.0561375987450278e-07,6.723065717967392e-09
Ta,NIST612,37.6,1.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,180.9479,3.76e-05,1.8999999999999998e-06,2.0779461933517878e-07,1.05002600195968e-08
W,NIST612,38.0,1.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,183.84,3.8e-05,1.1e-06,2.0670147954743256e-07,5.983463881636205e-09
Re,NIST612,6.63,0.61,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,186.207,6.63e-06,6.1e-07,3.560553577470235e-08,3.275924105968089e-09
Ir,NIST612,0.0045,,,ug/g,GeoReM 5211,Jochum et al 2011,192.217,4.5e-09,,2.3411040646769014e-11,
Pt,NIST612,2.51,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,195.078,2.5099999999999997e-06,1.0000000000000001e-07,1.2866648212509867e-08,5.126154666338593e-10
Au,NIST612,4.77,0.31,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,196.96655,4.769999999999999e-06,3.1e-07,2.421730999502199e-08,1.5738712994668383e-09
Tl,NIST612,14.9,0.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,204.3833,1.49e-05,5e-07,7.290223809870964e-08,2.4463838288157593e-09
Pb,NIST612,38.57,0.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,207.2,3.857e-05,2.0000000000000002e-07,1.8614864864864865e-07,9.652509652509654e-10
Bi,NIST612,30.2,2.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,208.98038,3.02e-05,2.3e-06,1.4451117372836626e-07,1.1005817866729882e-08
Th,NIST612,37.79,0.08,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,232.0381,3.779e-05,8e-08,1.6286118529672499e-07,3.4477096649214076e-10
U,NIST612,37.38,0.08,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,238.02891,3.7380000000000005e-05,8e-08,1.570397478188679e-07,3.36093628290782e-10
CO2,NIST614,0.0004,,,%m/m,GeoReM 5211,Jochum et al 2011,44.0095,4e-06,,9.088946704688759e-08,
H2O,NIST614,0.019,,,%m/m,GeoReM 5211,Jochum et al 2011,18.01528,0.00018999999999999998,,1.0546602661740477e-05,
Na2O,NIST614,13.7,0.3,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,61.97894,0.13699999999999998,0.003,0.004420857,9.68071e-05
Al2O3,NIST614,2.04,0.05,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,101.961276,0.0204,0.0005,0.000400152,9.80765e-06
