Date: "11:43:01 29/03/2019"

Cycle,Timestamp,C(13),Mode,Na(23),Mode,Mg(24),Mode,Mg(25),Mode,Al(27),Mode,Si(29),Mode,Ca(43),Mode,Ca(44),Mode,Mn(55),Mode,Zn(66),Mode,Sr(86),Mode,Sr(88),Mode,Ba(137),Mode,Ba(138),Mode,Th(232),Mode,U(238),Mode,Th(248),Mode
48,281.37499,41621.99,1,161755.94,1,00.00E00,1,00.00E00,1,3349.30,1,10254.99,1,4194.04,1,8969.19,1,775.24,1,82.64,1,1263.66,1,717.96,1,00.00E00,1,842.11,1,00.00E00,1,00.00E00,1,55.25,1

49,282.47499,38997.08,1,240054.64,1,00.00E00,1,00.00E00,1,2123.83,1,13529.15,1,2030.74,1,13883.08,1,1558.90,1,1639.36,1,2109.15,1,1051.30,1,655.47,1,701.76,1,104.71,1,00.00E00,1,00.00E00,1

50,283.57499,40131.55,1,311231.29,1,1354.74,1,217.39,1,4982.73,1,13826.82,1,3481.34,1,11821.40,1,800.47,1,463.80,1,2345.52,1,1147.45,1,179.27,1,947.38,1,104.71,1,54.35,1,55.25,1

51,284.67499,34504.00,1,253758.97,1,188.68,1,192.31,1,2793.70,1,14337.57,1,3033.54,1,14228.03,1,633.80,1,223.88,1,1254.57,1,555.56,1,263.31,1,1736.88,1,00.00E00,1,00.00E00,1,00.00E00,1

52,285.77499,42467.34,1,198913.36,1,200.00,1,217.39,1,2630.19,1,13509.63,1,2295.63,1,11383.61,1,1125.40,1,82.64,1,1072.74,1,1066.25,1,761.91,1,649.13,1,00.00E00,1,00.00E00,1,00.00E00,1

53,286.87499,42133.64,1,202568.56,1,400.00,1,00.00E00,1,3941.83,1,14394.50,1,2295.63,1,13267.49,1,1133.81,1,157.27,1,2236.43,1,955.14,1,95.24,1,964.92,1,41.84,1,00.00E00,1,00.00E00,1

54,287.97499,43579.66,1,180164.49,1,00.00E00,1,00.00E00,1,1719.45,1,12275.08,1,2055.97,1,10829.08,1,1325.71,1,306.53,1,1472.75,1,925.22,1,285.72,1,912.29,1,41.84,1,00.00E00,1,00.00E00,1

55,289.07499,37217.58,1,179952.40,1,400.00,1,00.00E00,1,2830.62,1,22111.90,1,1608.19,1,11168.69,1,1308.89,1,82.64,1,1736.40,1,1177.37,1,168.07,1,298.25,1,00.00E00,1,00.00E00,1,00.00E00,1

56,290.17499,40331.76,1,183898.61,1,966.05,1,00.00E00,1,2781.39,1,16082.96,1,3025.13,1,12436.98,1,883.80,1,00.00E00,1,1445.48,1,955.14,1,190.48,1,1175.46,1,00.00E00,1,00.00E00,1,00.00E00,1

57,291.27499,37306.56,1,161732.05,1,977.37,1,00.00E00,1,2969.52,1,13895.13,1,1292.85,1,12017.75,1,1300.48,1,00.00E00,1,1872.77,1,1132.49,1,84.03,1,877.20,1,00.00E00,1,00.00E00,1,00.00E00,1

58,292.37499,40531.96,1,172700.28,1,188.68,1,00.00E00,1,2830.62,1,13418.55,1,4061.59,1,12381.26,1,1400.64,1,157.27,1,1372.75,1,510.69,1,179.27,1,859.66,1,00.00E00,1,00.00E00,1,00.00E00,1

59,293.47499,42133.64,1,163084.63,1,377.36,1,00.00E00,1,2540.52,1,13483.61,1,2751.83,1,11051.95,1,950.32,1,00.00E00,1,1354.57,1,525.64,1,95.24,1,666.67,1,00.00E00,1,00.00E00,1,00.00E00,1

60,294.57499,40554.21,1,166440.88,1,388.68,1,00.00E00,1,1858.34,1,12919.19,1,3464.52,1,13230.34,1,1483.97,1,74.63,1,1536.39,1,1036.34,1,95.24,1,1000.01,1,00.00E00,1,00.00E00,1,55.25,1

61,295.67499,42801.03,1,171395.16,1,766.05,1,00.00E00,1,2679.42,1,12995.64,1,3365.71,1,11136.85,1,1233.96,1,00.00E00,1,1336.39,1,814.11,1,285.72,1,491.23,1,00.00E00,1,00.00E00,1,00.00E00,1

62,296.77499,32168.69,1,165772.00,1,377.36,1,217.39,1,2389.31,1,11619.60,1,3199.63,1,11248.29,1,1300.48,1,00.00E00,1,863.65,1,510.69,1,84.03,1,1175.46,1,00.00E00,1,00.00E00,1,00.00E00,1

63,297.87499,39397.48,1,169645.12,1,588.68,1,00.00E00,1,2250.42,1,13350.23,1,2909.50,1,14092.71,1,1233.96,1,74.63,1,1827.32,1,747.87,1,252.10,1,666.67,1,00.00E00,1,00.00E00,1,00.00E00,1

64,298.97499,47584.29,1,4762856.90,1,1566.07,1,627.10,1,342478.23,1,259093.65,1,10163.18,1,113439.06,1,3718.83,1,711.74,1,2181.88,1,5395.67,1,453.78,1,3263.29,1,3224.30,1,2992.25,1,00.00E00,1

65,300.07499,45248.21,1,32900020.91,2,17373.64,1,1663.91,1,3525039.52,1,2545452.08,1,91086.96,1,1147867.08,1,26287.83,1,1580.76,1,8982.84,1,58637.65,1,4386.80,1,37105.20,1,32418.65,1,28931.30,1,00.00E00,1

66,301.17499,45248.21,1,41922637.88,2,14281.84,1,1371.26,1,3427247.37,1,2061290.37,1,78975.50,1,1241868.51,1,23324.19,1,2044.58,1,7155.20,1,53810.25,1,4672.55,1,27922.18,1,33194.12,1,33091.61,1,00.00E00,1

67,302.27499,45292.70,1,47325553.22,2,17048.97,1,2433.19,1,4010123.94,1,2485750.94,1,83074.73,1,1319042.68,1,26411.76,1,1903.34,1,9755.75,1,70466.85,1,5821.16,1,28870.23,1,33320.19,1,27857.91,1,00.00E00,1

68,303.37499,43112.48,1,36775281.40,2,16637.48,1,3662.38,1,3285559.56,1,2024618.35,1,76601.67,1,1081041.38,1,26161.59,1,1159.51,1,9310.19,1,52556.42,1,4123.47,1,28378.65,1,28785.08,1,31637.36,1,00.00E00,1

69,304.47499,39953.60,1,46657524.19,2,15538.91,1,5134.11,1,3625242.31,1,2410417.85,1,84985.47,1,1351204.37,1,22315.19,1,1415.47,1,10401.37,1,69137.58,1,4924.68,1,34155.16,1,32041.99,1,32844.18,1,00.00E00,1

70,305.57499,47517.55,1,39782832.61,2,16882.86,1,3110.49,1,3896797.42,1,2431461.01,1,85777.60,1,1354324.80,1,26996.26,1,1026.29,1,10592.33,1,70325.57,1,4510.06,1,27939.74,1,32523.45,1,31100.62,1,00.00E00,1

71,306.67499,43913.37,1,33881791.15,2,13428.70,1,1831.15,1,3044565.94,1,2233124.51,1,71652.28,1,1230397.28,1,23976.72,1,1167.53,1,9364.75,1,73587.94,1,4857.44,1,29151.14,1,28449.23,1,28181.68,1,00.00E00,1

72,307.77499,44781.01,1,32238838.70,2,10993.99,1,2483.36,1,2940936.18,1,2100360.85,1,73775.18,1,1095826.43,1,21548.71,1,1316.79,1,6191.40,1,51644.96,1,3910.56,1,26271.92,1,23378.97,1,23535.02,1,00.00E00,1

73,308.87499,46004.64,1,37980066.48,2,12828.50,1,602.01,1,2939628.92,1,2242216.82,1,64463.07,1,1049423.10,1,21481.39,1,1572.75,1,8573.66,1,52398.09,1,3227.02,1,29098.47,1,26553.45,1,25563.57,1,00.00E00,1

74,309.97499,45537.43,1,39418609.07,2,16293.94,1,2600.42,1,3119423.96,1,2394075.94,1,68929.32,1,1081371.21,1,22514.85,1,1084.88,1,7900.79,1,51715.57,1,4638.93,1,26359.70,1,27610.94,1,26722.53,1,00.00E00,1

75,311.07499,42734.29,1,33555537.16,2,14338.46,1,3085.41,1,3054283.74,1,2045718.62,1,67777.44,1,1154139.34,1,25119.63,1,1159.51,1,6746.03,1,56502.05,1,4835.03,1,23603.56,1,29371.95,1,28295.55,1,00.00E00,1

76,312.17499,44692.02,1,39076585.37,2,13028.57,1,2408.10,1,2764355.26,1,2021453.66,1,73193.89,1,1018033.98,1,22491.90,1,802.40,1,8710.05,1,52351.02,1,3860.13,1,23234.92,1,24646.37,1,23809.00,1,00.00E00,1

77,313.27499,47228.31,1,31119267.29,2,12371.75,1,2265.95,1,3139074.28,1,1930737.79,1,66339.22,1,1035417.60,1,21647.39,1,1282.25,1,7209.75,1,52318.93,1,5507.39,1,23392.91,1,24479.12,1,23773.60,1,00.00E00,1

