statistic,sample,rep,Li7,Mg24,Al27,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
H15_se,144,0,1.3427419169409135e-05,1.6852811681183124e-06,7.903923656441773e-06,0.00011296789109970595,0.0001353673748576324,2.5620997818655766e-06,3.6950882554273034e-05,1.344361727545368e-08,1.630435983263419e-07,1.8282059201948937e-08,1.9907206776589844e-07,4.398355715755627e-07,2.6869709820115436e-08,1.8567150569877742e-06,4.683634662835279e-07,3.3164079928299672e-06,8.199606159969416e-07,3.935014359084481e-06,1.4267972603740867e-06,1.7518284931095493e-05,3.3348570581349505e-06,0.00022429377655873144,1.7013441120535975e-06,5.4654036236344306e-06,7.5314197451761205e-06
H15_se,146,0,1.0075295032457621e-05,3.805654741722635e-06,9.892252554436124e-06,5.473778818241257e-05,0.00013296042322547938,3.2660504688640514e-06,6.741211027176474e-05,1.8023396516949137e-08,2.698428993648154e-07,3.1839887246152406e-08,2.572884407883765e-07,3.12146273869036e-07,4.635506350791975e-08,6.033209341828168e-07,3.1308008561433827e-07,3.158912098785543e-06,1.1979688176544175e-06,5.774511490030246e-06,1.3151401752647705e-06,1.1637810679353197e-05,2.82772369347828e-06,0.00012764375049195229,1.814863212776878e-06,5.895319711377271e-07,6.860347662822651e-06
H15_se,147,0,3.758897281818249e-06,1.0265842362971928e-06,4.035130623247986e-06,4.957644129618936e-05,8.126176929209886e-05,2.476803763111959e-06,2.075673327877972e-05,4.5487217192939095e-11,9.375646047012967e-08,1.0107893528481697e-08,1.0020009145038773e-07,1.7047607276987825e-07,1.72955195154344e-08,4.6650043331763856e-07,1.5280331149898813e-07,1.4470210556459142e-06,3.728257381509574e-07,2.01193257245771e-06,5.308560633918252e-07,4.272133360060651e-06,6.824796713794544e-07,9.152624837755255e-05,4.3811347437034086e-07,4.7338737259203434e-07,2.4899214545608038e-06
H15_se,148,0,6.3805567053838714e-06,1.1677561379985516e-06,1.948220752167377e-06,0.0001093381147809754,7.278137498284555e-05,1.8379502616943514e-06,4.3057170647942145e-05,1.2857498259661124e-08,1.7911028722720185e-07,1.6988645571666192e-08,1.5783976974468376e-07,1.884473482440889e-07,3.5793436405386986e-08,7.45616853746269e-07,2.485625592684264e-07,2.417030181817038e-06,8.440235537385238e-07,5.222787645488506e-06,1.6675131392496331e-06,1.6935962170343077e-05,2.879812601180935e-06,0.00012932102381387788,1.4979096027668509e-06,3.0140030312838356e-06,8.398463336784826e-06
H15_se,149,0,1.343767259126449e-05,3.7508304239336057e-06,1.603543676038589e-05,0.0001324202617620184,0.0002204606318475104,5.395808203472175e-06,2.184594347193273e-05,1.2334131371967822e-07,5.764336533855698e-07,8.248838811068564e-08,1.0378452004297086e-06,7.53440952594686e-07,1.34612507299599e-07,8.984620348969433e-07,4.847307871930604e-07,2.5261989207607092e-06,1.1891664856448784e-06,3.5111136658293237e-06,2.218132056001739e-06,1.2835578712130466e-05,1.871063801582812e-06,0.0001487518609182642,2.1619645929257127e-06,4.410312998694209e-07,2.055842505776907e-06
H15_se,150,0,7.508564032740094e-06,3.7107621754339555e-06,5.035556330911004e-06,5.460588339331905e-05,0.00016090528668956676,3.683511187255601e-06,6.861729826854986e-05,7.564024555179859e-08,2.530954346681174e-07,7.768714646031591e-08,3.55770894496082e-07,3.5309526909605025e-07,5.909459133086021e-08,9.060428679307011e-07,2.6966732634237256e-07,3.0743875246051413e-06,1.0513478208980604e-06,5.78581487748706e-06,1.6334778654318548e-06,1.604288705809493e-05,2.7016969863462457e-06,0.00016619060168413845,2.2611836910730535e-06,1.148029424431234e-06,1.0884992887509285e-05
H15_se,151,0,4.376576143932338e-06,1.3551880310564885e-06,9.482508299222942e-06,0.00016346176816327848,0.00011588677246449571,3.0689176926976445e-06,7.974965106855553e-05,5.284457604224003e-11,1.0627687314683846e-07,1.9504483254761493e-08,1.9272807686218638e-07,2.6458198235659716e-07,2.301954491169508e-08,1.0467239914081923e-06,3.2799975826181735e-07,3.7491759368124956e-06,1.5307540803692366e-06,7.675840236631921e-06,1.2424635420180931e-06,1.120122466857369e-05,2.3952277402750026e-06,6.394961863205276e-05,1.8818155268900655e-06,1.6102484001516457e-06,4.83859692529947e-06
H15_se,152,0,7.961015552198457e-06,1.833955933360353e-05,2.028867042905554e-05,5.343547919121089e-05,0.0001967571788819847,3.6001184841576593e-06,2.7539071941698704e-05,7.842277744042297e-08,5.231963921383385e-07,8.584239701079935e-08,3.3888423558743655e-07,4.1537554861147594e-07,6.924359317159583e-08,6.608450151586554e-07,2.5504408813974254e-07,1.2115986702155244e-06,6.909833101804116e-07,3.1608354248214623e-06,9.508881478822324e-07,6.0730957740091925e-06,1.2137120642465762e-06,0.00015213856652783692,1.738752560908991e-06,2.8233538532060265e-06,5.071446236389135e-06
H15_se,153,0,6.091672956930525e-06,8.926905308521076e-07,5.599436333014435e-06,7.018264442859295e-05,0.00012349000188462134,1.7778979369429483e-06,4.62364321518795e-05,1.2905539347098849e-08,1.869514022751781e-07,1.908691041698227e-08,1.678305597479272e-07,2.544209250174062e-07,2.6297100811068434e-08,7.001750287667733e-07,2.6066226213389696e-07,2.569216839690757e-06,1.179784127413374e-06,5.832922506680963e-06,1.3485025278517747e-06,1.2408701832705512e-05,2.001411667813421e-06,9.1316698473061e-05,1.5949132599769569e-06,3.6897976013495754e-07,7.020911177306748e-06
H15_se,154,0,8.361488527545604e-06,2.1898600804433286e-06,4.486448347170532e-06,0.0001016915871658314,0.00011044401556608248,2.447949364360171e-06,4.937120532141043e-05,2.2272988964021892e-08,1.24563091380972e-07,1.9480487333343758e-08,1.3711085465788283e-07,1.6629469475877658e-07,1.8217756703699133e-08,5.833745267997848e-07,2.5095028238535666e-07,2.2778793830414137e-06,9.265417431734239e-07,4.6784761460325284e-06,9.118737695206649e-07,8.341962093432076e-06,1.8178592852580757e-06,0.00016085732981109167,1.413020812932586e-06,1.0311397569005338e-06,4.700211627877642e-06
